code,name,submun,city,province
124709058,San Pedro,,Midsayap,Cotabato
124710000,M'LANG,,,Cotabato
124710001,Bagontapay,,M’lang,Cotabato
124710002,Bialong,,M’lang,Cotabato
124710003,Buayan,,M’lang,Cotabato
124710004,Calunasan,,M’lang,Cotabato
124710005,Dalipe,,M’lang,Cotabato
124710006,Dagong,,M’lang,Cotabato
124710007,Dungo-an,,M’lang,Cotabato
124710008,Gaunan,,M’lang,Cotabato
124710009,Inas,,M’lang,Cotabato
124710010,Katipunan,,M’lang,Cotabato
124710011,La Fortuna,,M’lang,Cotabato
124710012,La Suerte,,M’lang,Cotabato
124710013,Langkong,,M’lang,Cotabato
124710014,Lepaga,,M’lang,Cotabato
124710015,Liboo,,M’lang,Cotabato
124710016,Lika,,M’lang,Cotabato
124710017,Luz Village,,M’lang,Cotabato
124710018,Magallon,,M’lang,Cotabato
124710019,Malayan,,M’lang,Cotabato
124710020,New Antique,,M’lang,Cotabato
124710021,New Barbaza,,M’lang,Cotabato
124710022,New Kalibo,,M’lang,Cotabato
124710024,New Consolacion,,M’lang,Cotabato
124710025,New Esperanza,,M’lang,Cotabato
124710026,New Janiuay,,M’lang,Cotabato
124710027,New Lawa-an,,M’lang,Cotabato
124710028,New Rizal,,M’lang,Cotabato
124710029,Nueva Vida,,M’lang,Cotabato
124710030,Pag-asa,,M’lang,Cotabato
124710031,Poblacion,,M’lang,Cotabato
124710032,Pulang-lupa,,M’lang,Cotabato
124710033,Sangat,,M’lang,Cotabato
124710034,Tawantawan,,M’lang,Cotabato
124710035,Tibao,,M’lang,Cotabato
124710036,Ugpay,,M’lang,Cotabato
124710037,Palma-Perez,,M’lang,Cotabato
124710038,Poblacion B,,M’lang,Cotabato
124711000,PIGKAWAYAN,,,Cotabato
124711001,Anick (Upper Balogo),,Pigkawayan,Cotabato
124711002,Upper Baguer (Baguer),,Pigkawayan,Cotabato
124711003,Balacayon,,Pigkawayan,Cotabato
124711004,Balogo,,Pigkawayan,Cotabato
124711006,Banucagon,,Pigkawayan,Cotabato
124711007,Bulucaon,,Pigkawayan,Cotabato
124711008,Buluan,,Pigkawayan,Cotabato
124711009,Buricain,,Pigkawayan,Cotabato
124711010,Capayuran,,Pigkawayan,Cotabato
124711011,Central Panatan,,Pigkawayan,Cotabato
124711012,Datu Binasing,,Pigkawayan,Cotabato
124711013,Datu Mantil,,Pigkawayan,Cotabato
124711014,Kadingilan,,Pigkawayan,Cotabato
124711015,Kimarayang,,Pigkawayan,Cotabato
124711016,Libungan Torreta,,Pigkawayan,Cotabato
124711017,Lower Baguer,,Pigkawayan,Cotabato
124711018,Lower Pangangkalan,,Pigkawayan,Cotabato
124711019,Malagakit,,Pigkawayan,Cotabato
124711020,Maluao,,Pigkawayan,Cotabato
124711021,North Manuangan,,Pigkawayan,Cotabato
124711022,Matilac,,Pigkawayan,Cotabato
124711023,Midpapan I,,Pigkawayan,Cotabato
124711024,Mulok,,Pigkawayan,Cotabato
124711025,New Culasi,,Pigkawayan,Cotabato
124711026,New Igbaras,,Pigkawayan,Cotabato
124711027,New Panay,,Pigkawayan,Cotabato
124711028,Upper Pangangkalan,,Pigkawayan,Cotabato
124711029,Patot,,Pigkawayan,Cotabato
124711030,Payong-payong,,Pigkawayan,Cotabato
124711031,Poblacion I,,Pigkawayan,Cotabato
124711032,Poblacion II,,Pigkawayan,Cotabato
124711033,Poblacion III,,Pigkawayan,Cotabato
124711034,Presbitero,,Pigkawayan,Cotabato
124711035,Renibon,,Pigkawayan,Cotabato
124711036,Simsiman,,Pigkawayan,Cotabato
124711037,South Manuangan,,Pigkawayan,Cotabato
124711038,Tigbawan,,Pigkawayan,Cotabato
124711039,Tubon,,Pigkawayan,Cotabato
124711040,Midpapan II,,Pigkawayan,Cotabato
124711041,Cabpangi,,Pigkawayan,Cotabato
124712000,PIKIT,,,Cotabato
124712001,Bagoaingud (Bagoinged),,Pikit,Cotabato
124712003,Balabak,,Pikit,Cotabato
124712004,Balatican,,Pikit,Cotabato
124712005,Balong,,Pikit,Cotabato
124712006,Balungis,,Pikit,Cotabato
124712007,Barungis,,Pikit,Cotabato
124712008,Batulawan,,Pikit,Cotabato
124712009,Bualan,,Pikit,Cotabato
124712010,Buliok,,Pikit,Cotabato
124712011,Bulod,,Pikit,Cotabato
124712012,Bulol,,Pikit,Cotabato
124712013,Calawag,,Pikit,Cotabato
124712015,Dalingaoen (Lalingaon),,Pikit,Cotabato
124712016,Damalasak,,Pikit,Cotabato
124712019,Fort Pikit,,Pikit,Cotabato
124712020,Ginatilan,,Pikit,Cotabato
124712021,Gligli,,Pikit,Cotabato
124712022,Gokoton (Gokotan),,Pikit,Cotabato
124712023,Inug-ug,,Pikit,Cotabato
124712024,Kabasalan,,Pikit,Cotabato
124712025,Kalacacan,,Pikit,Cotabato
124712026,Katilacan,,Pikit,Cotabato
124712028,Kolambog,,Pikit,Cotabato
124712029,Ladtingan,,Pikit,Cotabato
124712030,Lagunde,,Pikit,Cotabato
