psgc_code,name,submun,city,province
133901169,Barangay 169,Tondo,Manila,Metro Manila
133901170,Barangay 170,Tondo,Manila,Metro Manila
133901171,Barangay 171,Tondo,Manila,Metro Manila
133901172,Barangay 172,Tondo,Manila,Metro Manila
133901173,Barangay 173,Tondo,Manila,Metro Manila
133901174,Barangay 174,Tondo,Manila,Metro Manila
133901175,Barangay 175,Tondo,Manila,Metro Manila
133901176,Barangay 176,Tondo,Manila,Metro Manila
133901177,Barangay 177,Tondo,Manila,Metro Manila
133901178,Barangay 178,Tondo,Manila,Metro Manila
133901179,Barangay 179,Tondo,Manila,Metro Manila
133901180,Barangay 180,Tondo,Manila,Metro Manila
133901181,Barangay 181,Tondo,Manila,Metro Manila
133901182,Barangay 182,Tondo,Manila,Metro Manila
133901183,Barangay 183,Tondo,Manila,Metro Manila
133901184,Barangay 184,Tondo,Manila,Metro Manila
133901185,Barangay 185,Tondo,Manila,Metro Manila
133901186,Barangay 186,Tondo,Manila,Metro Manila
133901187,Barangay 187,Tondo,Manila,Metro Manila
133901188,Barangay 188,Tondo,Manila,Metro Manila
133901189,Barangay 189,Tondo,Manila,Metro Manila
133901190,Barangay 190,Tondo,Manila,Metro Manila
133901191,Barangay 191,Tondo,Manila,Metro Manila
133901192,Barangay 192,Tondo,Manila,Metro Manila
133901193,Barangay 193,Tondo,Manila,Metro Manila
133901194,Barangay 194,Tondo,Manila,Metro Manila
133901195,Barangay 195,Tondo,Manila,Metro Manila
133901196,Barangay 196,Tondo,Manila,Metro Manila
133901197,Barangay 197,Tondo,Manila,Metro Manila
133901198,Barangay 198,Tondo,Manila,Metro Manila
133901199,Barangay 199,Tondo,Manila,Metro Manila
133901200,Barangay 200,Tondo,Manila,Metro Manila
133901201,Barangay 201,Tondo,Manila,Metro Manila
133901202,Barangay 202,Tondo,Manila,Metro Manila
133901203,Barangay 202-A,Tondo,Manila,Metro Manila
133901204,Barangay 203,Tondo,Manila,Metro Manila
133901205,Barangay 204,Tondo,Manila,Metro Manila
133901206,Barangay 205,Tondo,Manila,Metro Manila
133901207,Barangay 206,Tondo,Manila,Metro Manila
133901208,Barangay 207,Tondo,Manila,Metro Manila
133901209,Barangay 208,Tondo,Manila,Metro Manila
133901210,Barangay 209,Tondo,Manila,Metro Manila
133901211,Barangay 210,Tondo,Manila,Metro Manila
133901212,Barangay 211,Tondo,Manila,Metro Manila
133901213,Barangay 212,Tondo,Manila,Metro Manila
133901214,Barangay 213,Tondo,Manila,Metro Manila
133901215,Barangay 214,Tondo,Manila,Metro Manila
133901216,Barangay 215,Tondo,Manila,Metro Manila
133901217,Barangay 216,Tondo,Manila,Metro Manila
133901218,Barangay 217,Tondo,Manila,Metro Manila
133901219,Barangay 218,Tondo,Manila,Metro Manila
133901220,Barangay 219,Tondo,Manila,Metro Manila
133901221,Barangay 220,Tondo,Manila,Metro Manila
133901222,Barangay 221,Tondo,Manila,Metro Manila
133901223,Barangay 222,Tondo,Manila,Metro Manila
133901224,Barangay 223,Tondo,Manila,Metro Manila
133901225,Barangay 224,Tondo,Manila,Metro Manila
133901226,Barangay 225,Tondo,Manila,Metro Manila
133901227,Barangay 226,Tondo,Manila,Metro Manila
133901228,Barangay 227,Tondo,Manila,Metro Manila
133901229,Barangay 228,Tondo,Manila,Metro Manila
133901230,Barangay 229,Tondo,Manila,Metro Manila
133901231,Barangay 230,Tondo,Manila,Metro Manila
133901232,Barangay 231,Tondo,Manila,Metro Manila
133901233,Barangay 232,Tondo,Manila,Metro Manila
133901234,Barangay 233,Tondo,Manila,Metro Manila
133901235,Barangay 234,Tondo,Manila,Metro Manila
133901236,Barangay 235,Tondo,Manila,Metro Manila
133901237,Barangay 236,Tondo,Manila,Metro Manila
133901238,Barangay 237,Tondo,Manila,Metro Manila
133901239,Barangay 238,Tondo,Manila,Metro Manila
133901240,Barangay 239,Tondo,Manila,Metro Manila
133901241,Barangay 240,Tondo,Manila,Metro Manila
133901242,Barangay 241,Tondo,Manila,Metro Manila
133901243,Barangay 242,Tondo,Manila,Metro Manila
133901244,Barangay 243,Tondo,Manila,Metro Manila
133901245,Barangay 244,Tondo,Manila,Metro Manila
133901246,Barangay 245,Tondo,Manila,Metro Manila
133901247,Barangay 246,Tondo,Manila,Metro Manila
133901248,Barangay 247,Tondo,Manila,Metro Manila
133901249,Barangay 248,Tondo,Manila,Metro Manila
133901250,Barangay 249,Tondo,Manila,Metro Manila
133901251,Barangay 250,Tondo,Manila,Metro Manila
133901252,Barangay 251,Tondo,Manila,Metro Manila
133901253,Barangay 252,Tondo,Manila,Metro Manila
133901254,Barangay 253,Tondo,Manila,Metro Manila
133901255,Barangay 254,Tondo,Manila,Metro Manila
133901256,Barangay 255,Tondo,Manila,Metro Manila
133901257,Barangay 256,Tondo,Manila,Metro Manila
133901258,Barangay 257,Tondo,Manila,Metro Manila
133901259,Barangay 258,Tondo,Manila,Metro Manila
133901260,Barangay 259,Tondo,Manila,Metro Manila
133901261,Barangay 260,Tondo,Manila,Metro Manila
133901262,Barangay 261,Tondo,Manila,Metro Manila
133901263,Barangay 262,Tondo,Manila,Metro Manila
133901264,Barangay 263,Tondo,Manila,Metro Manila
133901265,Barangay 264,Tondo,Manila,Metro Manila
133901266,Barangay 265,Tondo,Manila,Metro Manila
133901267,Barangay 266,Tondo,Manila,Metro Manila
133901268,Barangay 267,Tondo,Manila,Metro Manila
133902000,BINONDO,,SubMun,
133902001,Barangay 287,Binondo,Manila,Metro Manila
133902002,Barangay 288,Binondo,Manila,Metro Manila
133902003,Barangay 289,Binondo,Manila,Metro Manila
133902004,Barangay 290,Binondo,Manila,Metro Manila
133902005,Barangay 291,Binondo,Manila,Metro Manila
133902006,Barangay 292,Binondo,Manila,Metro Manila
133902007,Barangay 293,Binondo,Manila,Metro Manila
133902008,Barangay 294,Binondo,Manila,Metro Manila
133902009,Barangay 295,Binondo,Manila,Metro Manila
133902010,Barangay 296,Binondo,Manila,Metro Manila
133903000,QUIAPO,,Manila,Metro Manila
133903003,Barangay 383,Quiapo,Manila,Metro Manila
133903004,Barangay 384,Quiapo,Manila,Metro Manila
133903005,Barangay 385,Quiapo,Manila,Metro Manila
133903006,Barangay 386,Quiapo,Manila,Metro Manila
133903007,Barangay 387,Quiapo,Manila,Metro Manila
133903008,Barangay 388,Quiapo,Manila,Metro Manila
133903009,Barangay 389,Quiapo,Manila,Metro Manila
133903010,Barangay 390,Quiapo,Manila,Metro Manila
133903011,Barangay 391,Quiapo,Manila,Metro Manila
133903012,Barangay 392,Quiapo,Manila,Metro Manila
133903013,Barangay 393,Quiapo,Manila,Metro Manila
133903014,Barangay 394,Quiapo,Manila,Metro Manila
133903015,Barangay 306,Quiapo,Manila,Metro Manila
133903016,Barangay 307,Quiapo,Manila,Metro Manila
133903017,Barangay 308,Quiapo,Manila,Metro Manila
133903018,Barangay 309,Quiapo,Manila,Metro Manila
133904000,SAN NICOLAS,,Manila,Metro Manila
133904001,Barangay 268,San Nicolas,Manila,Metro Manila
133904002,Barangay 269,San Nicolas,Manila,Metro Manila
133904003,Barangay 270,San Nicolas,Manila,Metro Manila
133904004,Barangay 271,San Nicolas,Manila,Metro Manila
133904005,Barangay 272,San Nicolas,Manila,Metro Manila
133904006,Barangay 273,San Nicolas,Manila,Metro Manila
133904007,Barangay 274,San Nicolas,Manila,Metro Manila
133904008,Barangay 275,San Nicolas,Manila,Metro Manila
133904009,Barangay 276,San Nicolas,Manila,Metro Manila
133904014,Barangay 281,San Nicolas,Manila,Metro Manila
