,code,name,submun,city,province,address
85,133901089,Barangay 89,Tondo,Manila,Metro Manila,"Barangay 89,Tondo,Manila,Metro Manila"
86,133901090,Barangay 90,Tondo,Manila,Metro Manila,"Barangay 90,Tondo,Manila,Metro Manila"
87,133901091,Barangay 91,Tondo,Manila,Metro Manila,"Barangay 91,Tondo,Manila,Metro Manila"
88,133901092,Barangay 92,Tondo,Manila,Metro Manila,"Barangay 92,Tondo,Manila,Metro Manila"
89,133901093,Barangay 93,Tondo,Manila,Metro Manila,"Barangay 93,Tondo,Manila,Metro Manila"
90,133901094,Barangay 94,Tondo,Manila,Metro Manila,"Barangay 94,Tondo,Manila,Metro Manila"
91,133901095,Barangay 95,Tondo,Manila,Metro Manila,"Barangay 95,Tondo,Manila,Metro Manila"
92,133901096,Barangay 96,Tondo,Manila,Metro Manila,"Barangay 96,Tondo,Manila,Metro Manila"
93,133901097,Barangay 97,Tondo,Manila,Metro Manila,"Barangay 97,Tondo,Manila,Metro Manila"
94,133901098,Barangay 98,Tondo,Manila,Metro Manila,"Barangay 98,Tondo,Manila,Metro Manila"
95,133901099,Barangay 99,Tondo,Manila,Metro Manila,"Barangay 99,Tondo,Manila,Metro Manila"
96,133901100,Barangay 100,Tondo,Manila,Metro Manila,"Barangay 100,Tondo,Manila,Metro Manila"
97,133901101,Barangay 101,Tondo,Manila,Metro Manila,"Barangay 101,Tondo,Manila,Metro Manila"
98,133901102,Barangay 102,Tondo,Manila,Metro Manila,"Barangay 102,Tondo,Manila,Metro Manila"
99,133901103,Barangay 103,Tondo,Manila,Metro Manila,"Barangay 103,Tondo,Manila,Metro Manila"
100,133901104,Barangay 104,Tondo,Manila,Metro Manila,"Barangay 104,Tondo,Manila,Metro Manila"
101,133901105,Barangay 105,Tondo,Manila,Metro Manila,"Barangay 105,Tondo,Manila,Metro Manila"
102,133901106,Barangay 106,Tondo,Manila,Metro Manila,"Barangay 106,Tondo,Manila,Metro Manila"
103,133901107,Barangay 107,Tondo,Manila,Metro Manila,"Barangay 107,Tondo,Manila,Metro Manila"
104,133901108,Barangay 108,Tondo,Manila,Metro Manila,"Barangay 108,Tondo,Manila,Metro Manila"
105,133901109,Barangay 109,Tondo,Manila,Metro Manila,"Barangay 109,Tondo,Manila,Metro Manila"
106,133901110,Barangay 110,Tondo,Manila,Metro Manila,"Barangay 110,Tondo,Manila,Metro Manila"
107,133901111,Barangay 111,Tondo,Manila,Metro Manila,"Barangay 111,Tondo,Manila,Metro Manila"
108,133901112,Barangay 112,Tondo,Manila,Metro Manila,"Barangay 112,Tondo,Manila,Metro Manila"
109,133901116,Barangay 116,Tondo,Manila,Metro Manila,"Barangay 116,Tondo,Manila,Metro Manila"
110,133901117,Barangay 117,Tondo,Manila,Metro Manila,"Barangay 117,Tondo,Manila,Metro Manila"
111,133901118,Barangay 118,Tondo,Manila,Metro Manila,"Barangay 118,Tondo,Manila,Metro Manila"
112,133901119,Barangay 119,Tondo,Manila,Metro Manila,"Barangay 119,Tondo,Manila,Metro Manila"
113,133901120,Barangay 120,Tondo,Manila,Metro Manila,"Barangay 120,Tondo,Manila,Metro Manila"
114,133901121,Barangay 121,Tondo,Manila,Metro Manila,"Barangay 121,Tondo,Manila,Metro Manila"
115,133901122,Barangay 122,Tondo,Manila,Metro Manila,"Barangay 122,Tondo,Manila,Metro Manila"
116,133901123,Barangay 123,Tondo,Manila,Metro Manila,"Barangay 123,Tondo,Manila,Metro Manila"
117,133901124,Barangay 124,Tondo,Manila,Metro Manila,"Barangay 124,Tondo,Manila,Metro Manila"
118,133901125,Barangay 125,Tondo,Manila,Metro Manila,"Barangay 125,Tondo,Manila,Metro Manila"
119,133901126,Barangay 126,Tondo,Manila,Metro Manila,"Barangay 126,Tondo,Manila,Metro Manila"
120,133901127,Barangay 127,Tondo,Manila,Metro Manila,"Barangay 127,Tondo,Manila,Metro Manila"
121,133901128,Barangay 128,Tondo,Manila,Metro Manila,"Barangay 128,Tondo,Manila,Metro Manila"
122,133901129,Barangay 129,Tondo,Manila,Metro Manila,"Barangay 129,Tondo,Manila,Metro Manila"
123,133901130,Barangay 130,Tondo,Manila,Metro Manila,"Barangay 130,Tondo,Manila,Metro Manila"
