,code,name,submun,city,province,address
211,124708004,Bangbang,,Matalam,Cotabato,"Bangbang,Matalam,Cotabato"
212,124708005,Bato,,Matalam,Cotabato,"Bato,Matalam,Cotabato"
213,124708006,Central Malamote,,Matalam,Cotabato,"Central Malamote,Matalam,Cotabato"
214,124708007,Dalapitan,,Matalam,Cotabato,"Dalapitan,Matalam,Cotabato"
215,124708008,Estado,,Matalam,Cotabato,"Estado,Matalam,Cotabato"
216,124708009,Ilian,,Matalam,Cotabato,"Ilian,Matalam,Cotabato"
217,124708010,Kabulacan,,Matalam,Cotabato,"Kabulacan,Matalam,Cotabato"
218,124708012,Kibia,,Matalam,Cotabato,"Kibia,Matalam,Cotabato"
219,124708013,Kibudoc,,Matalam,Cotabato,"Kibudoc,Matalam,Cotabato"
220,124708014,Kidama,,Matalam,Cotabato,"Kidama,Matalam,Cotabato"
221,124708015,Kilada,,Matalam,Cotabato,"Kilada,Matalam,Cotabato"
222,124708017,Lampayan,,Matalam,Cotabato,"Lampayan,Matalam,Cotabato"
223,124708018,Latagan,,Matalam,Cotabato,"Latagan,Matalam,Cotabato"
224,124708019,Linao,,Matalam,Cotabato,"Linao,Matalam,Cotabato"
225,124708020,Lower Malamote,,Matalam,Cotabato,"Lower Malamote,Matalam,Cotabato"
226,124708025,Manubuan,,Matalam,Cotabato,"Manubuan,Matalam,Cotabato"
227,124708026,Manupal,,Matalam,Cotabato,"Manupal,Matalam,Cotabato"
228,124708027,Marbel,,Matalam,Cotabato,"Marbel,Matalam,Cotabato"
229,124708028,Minamaing,,Matalam,Cotabato,"Minamaing,Matalam,Cotabato"
230,124708029,Natutungan,,Matalam,Cotabato,"Natutungan,Matalam,Cotabato"
231,124708030,New Bugasong,,Matalam,Cotabato,"New Bugasong,Matalam,Cotabato"
232,124708031,New Pandan,,Matalam,Cotabato,"New Pandan,Matalam,Cotabato"
233,124708033,Patadon West,,Matalam,Cotabato,"Patadon West,Matalam,Cotabato"
234,124708034,Poblacion,,Matalam,Cotabato,"Poblacion,Matalam,Cotabato"
235,124708035,Salvacion,,Matalam,Cotabato,"Salvacion,Matalam,Cotabato"
236,124708036,Santa Maria,,Matalam,Cotabato,"Santa Maria,Matalam,Cotabato"
237,124708037,Sarayan,,Matalam,Cotabato,"Sarayan,Matalam,Cotabato"
238,124708038,Taculen,,Matalam,Cotabato,"Taculen,Matalam,Cotabato"
239,124708039,Taguranao,,Matalam,Cotabato,"Taguranao,Matalam,Cotabato"
240,124708040,Tamped (Tampad),,Matalam,Cotabato,"Tamped (Tampad),Matalam,Cotabato"
241,124708041,New Abra,,Matalam,Cotabato,"New Abra,Matalam,Cotabato"
242,124708042,Pinamaton,,Matalam,Cotabato,"Pinamaton,Matalam,Cotabato"
243,124709000,MIDSAYAP,,,Cotabato,"MIDSAYAP,Cotabato"
244,124709002,Agriculture,,Midsayap,Cotabato,"Agriculture,Midsayap,Cotabato"
245,124709003,Anonang,,Midsayap,Cotabato,"Anonang,Midsayap,Cotabato"
246,124709004,Arizona,,Midsayap,Cotabato,"Arizona,Midsayap,Cotabato"
247,124709005,Bagumba,,Midsayap,Cotabato,"Bagumba,Midsayap,Cotabato"
248,124709006,Baliki,,Midsayap,Cotabato,"Baliki,Midsayap,Cotabato"
249,124709007,Bitoka,,Midsayap,Cotabato,"Bitoka,Midsayap,Cotabato"
250,124709008,Bual Norte,,Midsayap,Cotabato,"Bual Norte,Midsayap,Cotabato"
251,124709009,Bual Sur,,Midsayap,Cotabato,"Bual Sur,Midsayap,Cotabato"
252,124709010,Central Bulanan,,Midsayap,Cotabato,"Central Bulanan,Midsayap,Cotabato"
253,124709011,Damatulan,,Midsayap,Cotabato,"Damatulan,Midsayap,Cotabato"
254,124709012,Central Glad,,Midsayap,Cotabato,"Central Glad,Midsayap,Cotabato"
255,124709013,Ilbocean,,Midsayap,Cotabato,"Ilbocean,Midsayap,Cotabato"
256,124709014,Kadigasan,,Midsayap,Cotabato,"Kadigasan,Midsayap,Cotabato"
257,124709015,Kadingilan,,Midsayap,Cotabato,"Kadingilan,Midsayap,Cotabato"
258,124709016,Kapinpilan,,Midsayap,Cotabato,"Kapinpilan,Midsayap,Cotabato"
259,124709017,Central Katingawan,,Midsayap,Cotabato,"Central Katingawan,Midsayap,Cotabato"
260,124709018,Kimagango,,Midsayap,Cotabato,"Kimagango,Midsayap,Cotabato"
261,124709019,Kudarangan,,Midsayap,Cotabato,"Kudarangan,Midsayap,Cotabato"
262,124709020,Central Labas,,Midsayap,Cotabato,"Central Labas,Midsayap,Cotabato"
263,124709021,Lagumbingan,,Midsayap,Cotabato,"Lagumbingan,Midsayap,Cotabato"
264,124709022,Lomopog,,Midsayap,Cotabato,"Lomopog,Midsayap,Cotabato"
265,124709023,Lower Glad,,Midsayap,Cotabato,"Lower Glad,Midsayap,Cotabato"
266,124709024,Lower Katingawan,,Midsayap,Cotabato,"Lower Katingawan,Midsayap,Cotabato"
267,124709025,Macasendeg,,Midsayap,Cotabato,"Macasendeg,Midsayap,Cotabato"
268,124709026,Malamote,,Midsayap,Cotabato,"Malamote,Midsayap,Cotabato"
269,124709027,Malingao,,Midsayap,Cotabato,"Malingao,Midsayap,Cotabato"
